actor,emotion,filepath
1,surprised,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-02-01-01.wav
1,surprised,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-01-01.wav
1,angry,./Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
1,fearful,./Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
1,fearful,./Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
1,angry,./Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
1,disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
1,sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
1,sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
1,disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
1,happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
1,happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
1,calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
1,neutral,./Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
1,calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
1,happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
1,happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
1,calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
1,calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
1,neutral,./Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
1,surprised,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-01-02-01.wav
1,surprised,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
1,fearful,./Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
1,angry,./Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
1,angry,./Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
1,fearful,./Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
1,sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
1,disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-02-02-01.wav
1,disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
1,sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
1,calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
1,neutral,./Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
1,calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
1,happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
1,happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
1,surprised,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
1,surprised,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-02-02-01.wav
1,disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-02-01.wav
1,sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
1,sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
1,disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-02-01.wav
